ix,iy,x_m,y_m,Lx1_m,Ly1_m,gap_m,Lx2_m,Ly2_m,x2_m,height_m,cost
3,8,-1.0125e-05,-1.0125e-05,2e-07,1.8e-07,1.2e-07,1.75e-07,2e-07,5.75e-08,6.3e-07,0.446676539257703
3,9,-1.0125e-05,-9.675e-06,2e-07,1.75e-07,1e-07,1.5e-07,2e-07,2.5e-08,6.3e-07,0.282832227394006
3,10,-1.0125e-05,-9.225e-06,3e-07,1.75e-07,1.1e-07,2.25e-07,2e-07,1.225e-07,6.3e-07,0.0917723999316892
3,11,-1.0125e-05,-8.775e-06,3e-07,1.75e-07,1e-07,1.75e-07,2e-07,8.75e-08,6.3e-07,0.239537667238071
3,12,-1.0125e-05,-8.325e-06,3e-07,1.8e-07,1e-07,2.5e-07,2e-07,1.25e-07,6.3e-07,0.0288145923878894
3,13,-1.0125e-05,-7.875e-06,2.25e-07,1.8e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.0543334054454272
3,14,-1.0125e-05,-7.425e-06,2.25e-07,1.7e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.252190624041563
3,15,-1.0125e-05,-6.975e-06,2.25e-07,1.7e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.0699527714389379
3,16,-1.0125e-05,-6.525e-06,2.75e-07,1.75e-07,1.2e-07,1.5e-07,2e-07,8.25e-08,6.3e-07,0.106236677949478
3,17,-1.0125e-05,-6.075e-06,2e-07,1.8e-07,1e-07,1.75e-07,2e-07,3.75e-08,6.3e-07,0.263320836897845
3,18,-1.0125e-05,-5.625e-06,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.110840211094485
3,19,-1.0125e-05,-5.175e-06,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.241955599870088
3,20,-1.0125e-05,-4.725e-06,2e-07,1.75e-07,1.2e-07,2e-07,2e-07,7e-08,6.3e-07,0.519743756803084
3,21,-1.0125e-05,-4.275e-06,2e-07,1.75e-07,1.2e-07,2e-07,2e-07,7e-08,6.3e-07,1.2398408018882
3,22,-1.0125e-05,-3.825e-06,2.75e-07,1.8e-07,1e-07,2e-07,2e-07,8.75e-08,6.3e-07,1.98509242543224
3,23,-1.0125e-05,-3.375e-06,2e-07,1.8e-07,1.2e-07,2.5e-07,2e-07,9.5e-08,6.3e-07,1.84136169344368
3,24,-1.0125e-05,-2.925e-06,2e-07,1.8e-07,1.2e-07,2.5e-07,2e-07,9.5e-08,6.3e-07,1.41647359564328
3,25,-1.0125e-05,-2.475e-06,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,1.1773674633451
3,26,-1.0125e-05,-2.025e-06,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.86945794188478
3,27,-1.0125e-05,-1.575e-06,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.721304111045741
3,28,-1.0125e-05,-1.125e-06,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.678548863237371
3,29,-1.0125e-05,-6.74999999999999e-07,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.690857390003375
3,30,-1.0125e-05,-2.25e-07,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.718853661256781
3,31,-1.0125e-05,2.25e-07,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.736755848670934
3,32,-1.0125e-05,6.74999999999999e-07,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.732838352751407
3,33,-1.0125e-05,1.125e-06,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.709300149645989
3,34,-1.0125e-05,1.575e-06,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.682342935720795
3,35,-1.0125e-05,2.025e-06,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.682430706523486
3,36,-1.0125e-05,2.475e-06,2e-07,1.8e-07,1.1e-07,2.25e-07,2e-07,7.25e-08,6.3e-07,0.75384356649626
3,37,-1.0125e-05,2.925e-06,3e-07,1.7e-07,1e-07,2.5e-07,2e-07,1.25e-07,6.3e-07,0.854431688132245
3,38,-1.0125e-05,3.375e-06,3e-07,1.7e-07,1e-07,2.5e-07,2e-07,1.25e-07,6.3e-07,1.08258639791982
3,39,-1.0125e-05,3.825e-06,3e-07,1.7e-07,1e-07,2.5e-07,2e-07,1.25e-07,6.3e-07,1.51628939065122
3,40,-1.0125e-05,4.275e-06,3e-07,1.7e-07,1e-07,2.5e-07,2e-07,1.25e-07,6.3e-07,2.16737293650456
3,41,-1.0125e-05,4.725e-06,2e-07,1.75e-07,1.2e-07,2e-07,2e-07,7e-08,6.3e-07,1.64568863244554
3,42,-1.0125e-05,5.175e-06,2e-07,1.75e-07,1.2e-07,2e-07,2e-07,7e-08,6.3e-07,0.72204961218
3,43,-1.0125e-05,5.625e-06,2e-07,1.75e-07,1.2e-07,2e-07,2e-07,7e-08,6.3e-07,0.129123170867184
3,44,-1.0125e-05,6.075e-06,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.0967923264646749
3,45,-1.0125e-05,6.525e-06,2.75e-07,1.8e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.251903272511288
3,46,-1.0125e-05,6.975e-06,2.75e-07,1.75e-07,1.2e-07,1.5e-07,2e-07,8.25e-08,6.3e-07,0.470478086596213
3,47,-1.0125e-05,7.425e-06,2.25e-07,1.7e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.582898818790273
3,48,-1.0125e-05,7.875e-06,2.25e-07,1.7e-07,1e-07,2e-07,2e-07,6.25e-08,6.3e-07,0.149059843974044
3,49,-1.0125e-05,8.325e-06,2e-07,1.7e-07,1e-07,2.5e-07,2e-07,7.5e-08,6.3e-07,0.225394344853946
3,50,-1.0125e-05,8.775e-06,3e-07,1.7e-07,1.1e-07,2.25e-07,2e-07,1.225e-07,6.3e-07,0.440349358010118
3,51,-1.0125e-05,9.225e-06,2e-07,1.8e-07,1e-07,2e-07,2e-07,5e-08,6.3e-07,0.106544346789649
3,52,-1.0125e-05,9.675e-06,3e-07,1.75e-07,1e-07,1.75e-07,2e-07,8.75e-08,6.3e-07,0.184897638489689
3,53,-1.0125e-05,1.0125e-05,2.5e-07,1.75e-07,1e-07,2.25e-07,2e-07,8.75e-08,6.3e-07,0.580147678531161
3,54,-1.0125e-05,1.0575e-05,2.75e-07,1.75e-07,1e-07,2e-07,2e-07,8.75e-08,6.3e-07,0.50959305299666
3,55,-1.0125e-05,1.1025e-05,2e-07,1.8e-07,1.2e-07,1.75e-07,2e-07,5.75e-08,6.3e-07,0.609152530548728
3,56,-1.0125e-05,1.1475e-05,3e-07,1.75e-07,1.1e-07,1.5e-07,2e-07,8.5e-08,6.3e-07,0.40397646638871
3,57,-1.0125e-05,1.1925e-05,2.5e-07,1.7e-07,1e-07,1.75e-07,2e-07,6.25e-08,6.3e-07,0.373919438096362
3,58,-1.0125e-05,1.2375e-05,2e-07,1.7e-07,1.1e-07,2e-07,2e-07,6e-08,6.3e-07,0.206598385914439
3,59,-1.0125e-05,1.2825e-05,2.75e-07,1.75e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.666256768464541
3,60,-1.0125e-05,1.3275e-05,2.25e-07,1.75e-07,1e-07,1.75e-07,2e-07,5e-08,6.3e-07,0.741505737859844
4,1,-8.775e-06,-1.3275e-05,2.75e-07,1.75e-07,1e-07,2e-07,2e-07,8.75e-08,6.3e-07,0.478983117786939
4,2,-8.775e-06,-1.2825e-05,2.5e-07,1.75e-07,1.1e-07,2.25e-07,2e-07,9.75e-08,6.3e-07,0.14244092545574
4,3,-8.775e-06,-1.2375e-05,2.5e-07,1.7e-07,1e-07,1.75e-07,2e-07,6.25e-08,6.3e-07,0.283243957153738
4,4,-8.775e-06,-1.1925e-05,3e-07,1.75e-07,1.1e-07,1.5e-07,2e-07,8.5e-08,6.3e-07,0.204666135979819
4,5,-8.775e-06,-1.1475e-05,2e-07,1.8e-07,1.2e-07,1.75e-07,2e-07,5.75e-08,6.3e-07,0.205330754258268
4,6,-8.775e-06,-1.1025e-05,2.25e-07,1.75e-07,1e-07,1.5e-07,2e-07,3.75e-08,6.3e-07,0.478533124472748
4,7,-8.775e-06,-1.0575e-05,3e-07,1.75e-07,1.1e-07,2.25e-07,2e-07,1.225e-07,6.3e-07,0.221915058167205
